job_title, company_name, job_type 
Graphic Designer, FRIDAL -, Full Time
Female Senior Graphic Designer ( Team lead ), Ulemt -, Full Time
2D illustrator / Designer, Confidential -, Full Time
Graphic Designer Team Leader, Confidential -, Full Time
Senior Graphic Designer, Confidential -, Full Time
Social Media Graphic Designer, Confidential -, Full Time
Motion Graphic Artist, Magnom -, Full Time
Senior Designer Specialist, Baxter / Refaat Holding  -, Full Time
Graphic Designer, Confidential -, Full Time
Interior Designer, Riadco 2000 -, Full Time
Senior Graphic Designer - 2D -Alexandria, Caduceus Lane -, Full Time
Graphic Designer, kabbani furniture -, Full Time
Graphic Designer, GEMS Education -, Full Time
2D Illustrator - Alexandria, Arabic Localizer -, Full Time
Video Editing & Graphic Design Intern ( Graduates only ), Injaz Digital  -, Internship
